hora,temp,press,ventvel,rad,act
11,32.2,1008.8,2.3,2740,1.031
12,32.7,1007.9,2.3,2606,0.932
13,32.5,1007.7,2.5,2017,0.843
14,31.8,1007.8,0.9,1041,0.406
15,30.5,1008,0.6,293.9,0.273
16,29,1008.6,1.3,6.044,0.471
17,28.3,1009.4,1.1,-3.51,0.297
18,27.8,1010.4,1,-3.52,0.065
19,27.1,1011,0.5,-3.48,0
20,26.7,1011.3,0.5,-3.54,0
21,26.3,1011.4,0.7,-3.54,0.027
22,25.9,1010.5,0.2,-3.54,0.01
23,25.8,1009.9,0.2,-3.54,0.017
0,25.5,1009.1,0,-3.54,0.056
1,25.4,1008.4,0.2,-3.54,0.175
2,25.5,1008.6,0,-3.53,0.25
3,25.3,1008.7,0,-3.46,0.414
4,25.6,1009.2,0,47.49,0.843
5,27.1,1010,0.8,323.7,1.616
6,27.3,1010.7,1.2,545.5,2.216
7,27.5,1011.1,1.8,674,2.31
8,29.3,1011.1,2.1,1367,2.265
9,30.8,1010.7,2.5,2283,1.627
10,31.3,1009.7,3.7,3034,1.313
11,32,1008.7,2.3,2822,1.254
12,32.4,1007.5,1.9,2376,0.896
13,31.8,1007.1,1.5,1735,0.914
14,31.4,1006.8,1.1,1123,0.455
15,30.3,1007.3,0.9,308,0.366
16,28.7,1007.6,0.1,4.89,0.519
17,27.9,1008.6,1.7,-3.54,0.299
18,27.3,1009.6,1,-3.54,0.015
19,27,1010.3,1,-3.31,0.004
20,26.4,1010.3,0.7,-3.19,0.015
21,25.9,1010.1,0.5,-3.52,0.034
22,25.8,1009.5,0,-3.48,0.049
23,26,1008.9,0,-3.28,0.19
0,26,1008.4,0.5,-3.05,0.189
1,25.5,1008.3,0,-3.53,0.131
2,25.1,1008.5,0,-3.54,0.303
3,24.4,1008.6,0,-3.54,0.389
4,24.8,1009.2,0,40.78,0.947
5,26.4,1009.9,0.9,185.7,1.475
6,27.6,1010.5,1.3,414.5,1.758
7,29,1010.6,2.3,898.5,1.525
8,29.5,1010.9,2.7,2085,1.861
9,30.8,1010.3,2.3,2962,1.758
10,31,1009.1,2.2,3024,1.32
11,32.3,1008.3,1.7,2793,1.217
12,32,1007.6,1.3,2344,1.209
13,31.9,1007.3,2.3,1972,1.123
14,31.5,1007.2,2.1,1236,0.648
15,30.3,1007.3,0.8,317.1,0.361
16,28.5,1007.6,0,6.998,0.586
17,28.4,1008.1,0.8,-3.54,0.41
18,27.9,1008.7,1.4,-3.54,0.037
19,27.3,1009.7,0.9,-3.54,0.004
20,26.7,1010,0.7,-3.54,0.033
21,26.4,1010,0.5,-3.54,0.074
22,26,1009.3,0,-3.54,0.053
23,25.8,1008.7,0.1,-3.54,0.078
0,25.6,1008.3,0.1,-3.54,0.102
1,25.3,1008.1,0,-3.54,0.158
2,25,1008,0.1,-3.54,0.193
3,24.9,1008,0.2,-3.54,0.284
4,24.9,1008.6,0.4,50.39,0.604
5,25.8,1009.8,0.3,303.1,1.284
6,27.7,1010,0.4,642,1.596
7,28.9,1010.5,0.9,1018,1.389
8,29.5,1010.8,2.4,2098,1.488
9,31,1010.1,1.3,2876,1.172
10,31.3,1009.1,0.8,2722,1.235
11,31.4,1008.6,3.1,2061,1.133
12,31.6,1008,2.3,2278,1.032
13,31.3,1007.6,0.6,1297,0.874
14,29.9,1007.6,1.5,859.1,0.66
15,28.9,1008,1,324.6,0.47
16,28,1008,0.9,13.43,0.516
17,27.2,1008.6,0.3,-3.54,0.411
18,26.6,1009.5,0.5,-3.54,0.063
19,26.5,1010,0.7,-3.52,0
20,26,1009.9,0.5,-3.22,0.007
21,25.7,1009.9,0,-3.54,0.014
22,25.3,1009.6,0,-3.54,0.035
23,25,1009.1,0.1,-3.54,0.053
0,24.7,1008.4,0.4,-3.54,0.074
1,24.5,1008.2,0.5,-3.54,0.042
2,24.7,1008.2,0.4,-3.54,0.065
3,24.6,1008.7,0.2,-3.54,0.116
4,24.8,1009.4,0.2,45.49,0.285
5,26.1,1010.1,0.9,193.1,0.893
6,28.9,1010.6,0.9,370.7,1.211
7,29.6,1011,1,806,1.312
8,31.2,1010.9,1,1774,1.386
9,31.6,1010.5,1.4,1988,1.065
10,31.4,1009.7,2.1,2733,1.033
11,31.9,1009,1.3,2512,0.825
12,31.3,1008.5,1.8,1398,0.893
13,28.6,1008.1,2,686.8,0.697
14,27.5,1008,1.9,204.3,0.632
15,26,1008.7,1.8,126.3,0.436
16,24.6,1009.2,0.7,2.346,0.481
17,24.7,1009.9,0.6,-1.66,0.128
18,24.8,1010.5,0.2,-2.36,0.015
19,25,1011.4,0,-2.74,0.027
20,25.2,1011.7,0.1,-2.84,0.021
21,24.8,1011.2,0.2,-3.39,0.116
22,24.3,1010.6,0,-3.54,0.107
23,24.1,1010,0,-3.53,0.136
0,23.9,1009.6,0,-3.54,0.17
1,23.7,1009.5,0,-3.49,0.167
2,23.7,1009.9,0,-3.48,0.078
3,23.5,1010.4,0,-3.5,0.213
4,23.7,1010.6,0,41.98,0.371
5,25.6,1011.3,0.9,164.2,0.934
6,28.1,1011.9,1.3,276.1,1.362
7,29.6,1012,1.2,603,1.247
8,31.2,1011.9,1.1,2077,1.443
9,31.3,1011.5,1.4,2092,1.284
10,31.4,1010.5,0.7,2072,0.934
11,31.6,1009.5,1.3,1869,0.764
12,29.8,1008.9,2,456.4,0.793
13,29.3,1008.1,1,292.1,0.784
14,26.4,1008.2,0.7,271.7,0.658
15,27.3,1008.1,1.4,91.13,0.48
16,27.3,1008.6,2.1,14.85,0.391
17,27.1,1009.7,0.9,-0.31,0.184
18,25,1010.4,0,-3.36,0.118
19,25.1,1010.5,0.1,-3.29,0.069
20,24.9,1010.9,0.3,-3.51,0.026
21,24.6,1010.6,0.1,-3.54,0.106
22,24.2,1010.1,0,-3.54,0.129
23,24,1009.4,0,-3.54,0.124
0,23.9,1008.7,0,-3.54,0.174
1,23.8,1008.4,0,-3.53,0.101
2,23.7,1008.4,0.2,-3.54,0.116
3,23.3,1009,0,-3.54,0.241
4,23.6,1009.6,0,39.72,0.576
5,25.6,1010.2,0.5,163.2,0.927
6,27.3,1010.7,1,254,1.244
7,29.5,1010.7,1.1,582.8,1.436
8,31.4,1010.3,0.6,2710,1.424
9,31.3,1009.4,1.6,2928,1.146
10,33.1,1008.4,0.8,3216,0.991
11,32.9,1007.5,0.7,2765,0.857
12,31.4,1006.8,1.1,1586,0.857
13,30.6,1006.7,1.4,1201,0.814
14,30.2,1006.8,0.5,525.8,0.357
15,29.6,1007.3,0.7,144,0.299
16,28.3,1008,0.8,11.66,0.549
17,28.1,1008.6,0.7,-3.53,0.183
18,26.9,1009.3,0.5,-3.54,0.067
19,26,1009.9,0.4,-3.48,0.076
20,25.3,1010.1,0.3,-3.54,0.125
21,24.8,1009.7,0.5,-3.54,0.149
22,24.4,1009.1,0.1,-3.54,0.204
23,24.2,1008.6,0,-3.54,0.268
0,24,1008.1,0.2,-3.54,0.209
1,23.8,1007.9,0,-3.54,0.209
2,23.6,1008.1,0.1,-3.54,0.139
3,23.6,1008.2,0,-3.54,0.223
4,24.1,1008.4,0.1,39.5,0.476
5,25.8,1009.3,0.5,183.5,0.834
6,28.4,1010,0.9,282.8,1.432
7,29.8,1009.9,1.1,554,1.419
8,30.9,1009.5,1.1,2591,1.639
9,31.6,1008.9,0.9,2887,1.348
10,31.3,1007.8,1.5,2852,1.182
11,31.5,1007.1,1.8,1694,0.943
12,31,1006.7,2.5,1376,0.747
13,29.4,1006.7,2,1147,1.041
14,28,1007.2,1,497.5,0.635
15,27.5,1007.4,1.8,313.6,0.429
16,27,1008.2,1.6,8.328,0.199
17,26.6,1009,1.3,-3.49,0.152
18,26.4,1009.5,0.9,-3.53,0.061
19,26.2,1010.1,0.6,-3.54,0.007
20,25.9,1010.1,0.2,-3.54,0.017
21,25.9,1009.6,0.3,-3.46,0.051
22,25.6,1008.9,0.2,-3.21,0.101
23,25.2,1008.5,0,-3.54,0.176
0,25.1,1008,0.2,-3.53,0.158
1,25.2,1007.8,0.4,-2.68,0.158
2,25,1008,0,-3.54,0.286
3,25,1008.5,0,-3.53,0.376
4,25.4,1008.7,0.2,43.41,0.707
5,27.8,1009.3,0.6,308.2,1.244
6,29,1009.9,0.8,500.1,1.523
7,30.2,1009.9,1.4,880.7,1.816
8,31.2,1009.9,0.9,1422,1.808
9,31.7,1009.3,0.7,1637,1.342
10,30.9,1008.3,2.3,2201,1.229
11,31.5,1007.3,1.4,1988,0.823
12,32.2,1006.8,1.6,1795,1.026
13,32.3,1006,1.9,1620,0.868
14,30.2,1006.6,2.6,1064,0.613
15,28.7,1007.5,1.9,225.8,0.41
16,26.8,1008.1,0.5,2.299,0.282
17,26,1008.9,0.3,-3.27,0.203
18,26.1,1009.4,1.1,-3.53,0.098
19,26,1009.9,0.5,-3.48,0.132
20,25.6,1010.2,0.6,-3.54,0.06
21,25.4,1009.9,0.1,-3.54,0.113
22,25.2,1009.3,0.1,-3.54,0.124
23,25,1008.6,0,-3.54,0.177
0,24.9,1008.2,0,-3.54,0.231
1,24.7,1008.4,0,-3.54,0.146
2,24.6,1008.9,0.1,-3.54,0.208
3,24.2,1009.6,0,-3.54,0.327
4,24.6,1009.9,0.1,46.25,0.362
5,26.7,1010.4,1,185.9,0.919
6,28.7,1011.3,1.5,373.8,1.435
7,29.8,1011.2,1.5,911.4,1.323
8,30.1,1011.1,1.4,1179,1.485
9,30.5,1010.3,1.8,1499,1.073
10,31,1009.4,0.7,1318,1.288
11,32.9,1008.4,1.1,1704,1.096
12,33.1,1007.8,1.1,1995,0.846
13,32,1007.6,1.3,1015,0.888
14,31.1,1007.5,1.2,406.2,0.692
15,29.9,1007.9,0.9,281.6,0.492
16,28.5,1008.3,0.9,11.68,0.654
17,27.5,1009.1,0.8,-3.54,0.285
18,26.6,1009.6,0.9,-3.54,0.081
19,25.9,1010.2,0.9,-3.48,0.096
20,25.3,1010.2,0.8,-3.54,0.15
21,24.8,1009.9,0.5,-3.54,0.227
22,24.5,1009.1,0.4,-3.54,0.15
23,23.8,1008.7,0.1,-3.54,0.088
0,23.5,1008.6,0,-3.54,0.065
1,23.2,1008.9,0,-3.54,0.121
2,23,1009,0,-3.54,0.046
3,22.8,1009.5,0,-3.54,0.176
4,23.6,1010.3,0,45.26,0.296
5,26.4,1011,0.5,171,0.782
6,28.6,1011.5,1.3,303.6,1.078
7,29.8,1011.8,1.4,813.5,1.212
8,31.6,1011.6,1.5,2210,1.43
9,31.7,1010.9,2.1,2262,1.003
10,33.2,1009.7,1.4,2357,0.847
11,33.3,1008.9,1.5,2565,1.14
12,33.1,1008.6,1.9,2059,1.212
13,33,1008.3,1.6,1928,1.036
14,31.7,1008.7,0.6,792.3,0.87
15,30.6,1008.9,0.6,203.6,0.671
16,29.4,1009.5,0.3,5.051,0.73
17,28.4,1010,0.7,-3.54,0.469
18,27.3,1010.5,0.5,-3.54,0.039
19,26.6,1010.8,0.7,-3.54,0.033
20,25.7,1010.5,0.9,-3.54,0
21,25.2,1010.3,0.5,-3.54,0.01
22,25,1009.8,0.9,-3.54,0.026
23,24.5,1009,0.4,-3.54,0.078
0,24.2,1008.6,0.5,-3.54,0.029
1,23.9,1008.8,0.6,-3.54,0.038
2,23.5,1008.9,0,-3.54,0.081
3,23.5,1009.3,0,-3.54,0.172
4,23.9,1010,0,43.62,0.294
5,26.8,1010.7,0.8,161.7,0.686
6,28.9,1011.4,1.2,407.8,1.221
7,30.5,1011.8,1,715.5,1.346
8,31.4,1011.4,1.4,2222,1.581
9,32.5,1010.7,1.3,2926,1.235
10,33.2,1009.6,1,2869,1.157
11,33.9,1008.6,1.7,2640,0.951
12,31.2,1008.1,1.5,1494,1.015
13,30.7,1007.8,1.6,1433,1.041
14,30.3,1008.1,2,520.6,0.497
15,29.5,1008.4,1.7,372.8,0.735
16,28.4,1008.9,1.6,6.082,0.852
17,27.8,1009.7,1.8,-3.38,0.34
18,27.2,1010.5,0.8,-3.54,0.058
19,26.8,1010.9,0.7,-3.53,0.012
20,26.5,1011.1,1.4,-3.54,0.174
21,26.2,1010.8,0.8,-3.54,0.224
22,25.7,1009.9,0.6,-3.54,0.247
23,25.3,1009.2,0.3,-3.54,0.183
0,25.2,1008.7,0.1,-3.54,0.101
1,24.7,1008.7,0,-3.54,0.115
2,25,1008.7,0.1,-3.54,0.132
3,24.8,1009.2,0.1,-3.54,0.146
4,25.3,1009.9,0.3,42.2,0.39
5,27.5,1011.2,1.1,182.4,0.89
6,29.3,1011.9,0.9,354.8,1.219
7,30,1012.2,1.1,815.7,1.371
8,32,1012,1,2419,1.885
9,31.1,1011.5,0.9,1543,1.612
10,31.5,1010.6,1.1,1240,1.343
11,30.9,1009.7,1.1,1048,1.213
12,31.5,1008.8,1.8,827,1.166
13,30.9,1008.6,2.2,557.8,1.126
14,28.7,1008.6,0.8,215.3,0.927
15,29.4,1008.8,0.9,269.8,0.949
16,28.8,1009.4,0.7,1.887,0.708
17,27.8,1010.8,0.7,-3.53,0.343
18,26.9,1011.2,0.7,-3.52,0.098
19,26.3,1012.5,0.9,-3.48,0.067
20,26,1012.5,0.6,-3.54,0.059
21,25.7,1012.2,0.4,-3.54,0.152
22,25.3,1011.3,0.4,-3.54,0.138
23,25.1,1010.8,0.6,-3.54,0.11
0,24.6,1010.3,0,-3.54,0.107
1,24.5,1010.2,0.1,-3.54,0.128
2,24.1,1010.5,0,-3.54,0.25
3,24,1011,0,-3.54,0.274
4,24.4,1011.3,0.1,50.82,0.491
5,26.9,1011.9,0.8,222.1,1.009
6,28.8,1012.3,1.2,488.2,1.265
7,29.3,1012.7,2.1,854.4,1.235
8,30.7,1012.8,2.1,1847,1.774
9,31.2,1012.2,2,2038,1.396
10,31.2,1011.4,2.4,2114,1.095
11,30.9,1010.3,2.1,2142,1.045
12,31.7,1009.6,1.9,2247,0.964
13,31.4,1009,2,1467,0.976
14,31,1008.7,1.2,1038,0.747
15,29.9,1009.2,0.8,309,0.548
16,28.7,1009.8,1,2.899,0.509
17,27.7,1010.3,0.8,-2.86,0.28
18,26.9,1011.3,1.1,-3.54,0.009
19,26.4,1011.9,1,-3.54,0.057
20,25.9,1012.2,0.8,-3.54,0.057
21,25.4,1011.9,0.7,-3.54,0.128
22,25,1011.3,0.7,-3.54,0.119
23,24.6,1010.6,0.6,-3.54,0.185
0,24.1,1010.2,0.3,-3.54,0.221
1,23.8,1010.2,0.3,-3.54,0.211
2,23.5,1010.7,0,-3.54,0.298
3,23.4,1010.8,0,-3.54,0.408
4,24.1,1011.6,0.5,48.53,0.559
5,26.4,1012.1,0.8,194.9,0.977
6,28.5,1012.7,1.6,318.5,1.278
7,29.7,1013,2.3,677.6,1.1
8,31.5,1013,1.7,2452,1.923
9,32.2,1012.4,1.6,2980,1.635
10,32.6,1011.4,2.1,2122,1.278
11,32.6,1010.5,1.6,2039,1.361
12,33.5,1009.8,1,1624,1.117
13,31.5,1009.4,1.7,832.9,1.104
14,31.5,1009.4,1.3,701.1,0.883
15,30.1,1009.8,0.7,113.8,0.726
16,29.1,1010.2,0.6,1.197,0.813
17,28.2,1010.8,0.9,-3.54,0.351
18,27.2,1011.3,0.5,-3.54,0.087
19,26.3,1012,1.2,-3.54,0.013
20,25.5,1012.2,1.1,-3.54,0.02
21,25.1,1011.9,0.8,-3.54,0.094
22,24.7,1011.4,0.8,-3.54,0.087
23,24.2,1010.6,0.3,-3.54,0.127
0,23.9,1010.3,0.6,-3.54,0.155
1,23.6,1010.4,0,-3.54,0.163
2,23.4,1010.6,0.1,-3.54,0.167
3,23.4,1010.6,0,-3.54,0.242
4,24.3,1010.9,0.5,46.17,0.5
5,26.6,1011.5,0.9,179.2,0.875
6,29.3,1012,1,272.8,1.352
7,30.5,1012.4,0.9,656.1,1.598
8,30.4,1012.4,1,2301,2.458
9,31.9,1011.9,1.2,1985,2.015
10,31.3,1010.9,1.7,2182,1.28
11,31.3,1009.7,1.2,1448,1.269
12,31,1009.1,2,871.8,1.049
13,28.8,1009,2.2,777.3,1.038
14,28.3,1009.1,1.8,440.1,0.648
15,26.8,1009.6,1.4,135.6,0.288
16,27.3,1010.7,1.6,3.265,0.258
17,24,1010.9,0.4,-1.62,0.11
18,24.9,1011.8,0.5,-1.53,0.015
19,25,1012.5,0.3,-2.56,0
20,24.8,1013,0.1,-3.5,0.004
21,24.6,1012.6,0,-3.25,0.004
22,24.5,1012.1,0,-2.81,0.008
23,24.2,1011.3,0,-3.42,0